Unnamed: 0,Score,Games,home_num - away_num,home_pieces_diff - away_pieces_diff,home_stacks,turn * home_min_dist,max_damage,home_threatening,home_board_score
0,11.0,23.0,245.94172502566346,-283.7130974564454,462.54505424618884,-158.4644090069711,-60.129958077958825,-158.63611256249314,-24.48044236778118
1,10.0,16.0,202.99785828826958,-228.0930497983057,470.695910587401,-126.51855149164629,-48.095127044446144,-127.04753058803655,-19.99612805419186
2,6.0,18.0,254.6810439354137,-282.596331107788,469.8275883681777,-159.9018427346729,-60.1486414971915,-158.3478386253866,-26.32335785444636
3,6.0,14.0,202.99785828826958,-228.0930497983057,374.41889516400687,-126.51855149164629,-48.095127044446144,-127.04753058803655,-19.99612805419186
4,12.0,20.0,202.99785828826958,-228.0930497983057,374.41889516400687,-126.51855149164629,-48.095127044446144,-127.04753058803655,-19.99612805419186
5,10.0,15.0,236.18704343294084,-236.21979398403028,556.1218397086136,-126.97024372450777,-56.4847361452082,-134.34072675403422,-23.998927537414733
6,8.0,16.0,247.95274713799355,-307.0185522377022,556.1986411763033,-190.70371537694507,-64.16681322968127,-169.1880466493514,-25.872283378825067
7,13.0,25.0,254.25533374565688,-258.57220066519903,352.36583725219384,-136.6984254523782,-56.42408762384746,-145.64178377188318,-20.40517110514123
8,13.0,23.0,307.07100016393224,-295.3050325294923,383.4632607474513,-166.12330055460487,-62.72287612920921,-140.09639338171937,-23.91425114025625
9,11.0,19.0,239.32959200775383,-331.29055180301117,551.6740302316358,-184.8475153834909,-62.323957384020794,-202.31250153234902,-29.95714963192396
