Unnamed: 0,Score,Games,home_num - away_num,home_pieces_diff - away_pieces_diff,home_stacks,turn * home_min_dist,max_damage,home_threatening,home_board_score
0,10.0,18.0,338.9926534283733,-483.4169167224121,858.663443389378,-276.53823242246057,62.54723984240652,-390.27679676925345,-36.806222692374675
1,4.0,26.0,292.71668926778597,-495.29104070448426,701.3537569325827,-226.45721774764027,98.63146975963464,-155.83509794602116,-34.65961432167376
2,8.0,24.0,375.4078057060846,-295.66072585622163,901.7590847561817,-287.1079820706025,88.60081663431293,-293.2376254712832,-35.30996345912232
3,9.0,26.0,294.7278007358458,-353.5381494807859,733.6203450793013,-221.35092216464776,52.6413257691988,-170.5449029754231,-27.3647463550048
4,7.0,22.0,375.4078057060846,-442.1112413883069,901.7590847561817,-287.1079820706025,88.60081663431293,-293.2376254712832,-29.7055534086108
5,9.0,34.0,467.05851712993086,-475.3218715878832,847.1446218139865,-335.01406200419706,75.31721717709058,-392.18842884966483,-43.11729667118379
6,7.0,22.0,403.62156130103216,-526.0308560123071,865.3868908876402,-285.19497226297267,103.760297676609,-452.02209506198477,-42.900394448720384
7,11.0,26.0,422.148468185803,-553.6951097507902,934.3516246026787,-360.28183199095076,82.49699628645047,-293.43881861998,-43.004870086423814
8,6.0,23.0,433.37657524241234,-470.25088172865446,924.5027928730163,-262.8392247113394,74.40566938277425,-468.92567157294656,-36.531477716037905
9,7.0,24.0,341.87935681398653,-484.7560132382521,870.8722745796342,-249.0789796177617,70.05976997513994,-336.20270421587594,-45.04693561283364
