Unnamed: 0,Score,Games,home_num - away_num,home_pieces_diff - away_pieces_diff,home_stacks,turn * home_min_dist,max_damage,home_threatening,home_board_score
0,5.0,14.0,333.32626320943365,-310.2188546708928,788.5678931472321,-344.48812610747734,307.7358505265069,-270.51944295366434,-128.48966685699293
1,10.0,21.0,334.5548992,-329.3242834,703.0404005,-256.670342,279.65284950271683,-184.7407677,-103.60532675674116
2,7.0,19.0,306.83175308674237,-301.85588242832256,685.4640540069539,-295.5556420746148,252.2123910415472,-226.0509762744648,-105.74866688802273
3,6.0,20.0,333.32626320943365,-310.2188546708928,788.5678931472321,-344.48812610747734,307.7358505265069,-270.51944295366434,-128.48966685699293
4,5.0,13.0,389.1962312720023,-362.1657636302544,910.7482541994998,-278.58743301824404,364.49759146825517,-251.07327365695838,-145.83467197649568
5,9.0,17.0,391.42783801326163,-374.61705617485336,846.5042619231991,-344.1221774557667,347.6160835551834,-309.0462464657444,-146.7245765916507
6,9.0,18.0,343.3918147465378,-356.74739036042234,778.6383824547075,-282.44616610655635,248.6899381193275,-252.7552707872906,-98.25944555455156
7,12.0,22.0,347.45318354158826,-343.96429888330414,758.1799876340622,-285.2690766234373,285.95844567272104,-238.26539914910182,-83.15098568911155
8,9.0,18.0,348.48373242255394,-362.5013177048272,1009.417237813598,-411.77493991215516,318.80487638962484,-266.97684887251455,-149.8549283998986
9,7.0,25.0,387.0584276688272,-375.6698498058522,1029.0324880856988,-366.61975197925597,370.8013798710749,-309.8773823192062,-103.08651542482193
